,Algorithm,Avg Score Phase 1,Avg Score Phase 2,Num Experiments,Phase Length,Std Dev Phase 1,Std Dev Phase 2
0,Boot,2678.2,3208.4,10,1000,425.984459810449,571.6389070033634
1,Weighted,2188.8,2734.4,10,1000,379.775933940001,462.912345914429
