,Algorithm,Avg Score Phase 1,Avg Score Phase 2,Std Dev Phase 1,Std Dev Phase 2
0,Boot,1163.6,1178.2,324.8049260710188,310.40032216478124
1,Weighted,1652.8,1651.8,88.28227455157689,94.06146926345559
