,Algorithm,Avg Score Phase 1,Avg Score Phase 2,Num Experiments,Phase Length,Std Dev Phase 1,Std Dev Phase 2
0,Boot,281.2,363.2,10,1000,102.78209960883265,77.92406560235419
1,Weighted,175.6,313.0,10,1000,29.64860873633028,40.03248680759165
