,Algorithm,Avg Score Phase 1,Avg Score Phase 2,Std Dev Phase 1,Std Dev Phase 2
0,Boot,0.0,0.5,0.0,1.02469507659596
1,Weighted,177.5,0.0,79.46225519075078,0.0
