,Algorithm,Avg Score Phase 1,Avg Score Phase 2,Num Experiments,Phase Length,Std Dev Phase 1,Std Dev Phase 2
0,Boot,18.2,26.9,10,20000,12.874781551544867,23.834638658893066
1,Weighted,425.7,622.2,10,20000,99.36805321631294,131.7511290274205
